age,gender,income,education,experience_years,job_level,hired
28,Male,75000,Bachelor,5,Senior,1
34,Male,95000,Master,10,Manager,1
45,Male,120000,PhD,20,Director,1
22,Female,35000,Bachelor,1,Junior,0
29,Female,42000,Master,5,Junior,0
38,Female,55000,Bachelor,12,Senior,0
31,Male,88000,Master,7,Senior,1
25,Male,62000,Bachelor,3,Mid,1
52,Male,140000,PhD,25,Director,1
27,Female,38000,Bachelor,3,Junior,0
33,Female,48000,Master,8,Mid,0
41,Female,60000,PhD,15,Senior,0
48,Male,115000,Master,22,Director,1
23,Male,55000,Bachelor,2,Mid,1
36,Male,78000,Master,12,Senior,1
30,Female,40000,Bachelor,6,Junior,0
26,Female,36000,Bachelor,2,Junior,0
44,Male,105000,PhD,18,Director,1
39,Male,92000,Master,15,Manager,1
24,Female,33000,Bachelor,1,Junior,0
55,Male,150000,PhD,30,Director,1
32,Female,50000,Master,7,Mid,0
28,Male,70000,Bachelor,5,Senior,1
37,Female,57000,Master,12,Senior,0
43,Male,108000,PhD,18,Director,1
29,Male,65000,Bachelor,6,Mid,1
35,Female,52000,Bachelor,10,Mid,0
50,Male,130000,Master,25,Director,1
22,Male,52000,Bachelor,1,Mid,1
31,Female,45000,Master,7,Mid,0
46,Male,118000,PhD,20,Director,1
27,Male,60000,Bachelor,4,Mid,1
40,Female,62000,PhD,15,Senior,0
33,Male,82000,Master,9,Senior,1
25,Female,34000,Bachelor,2,Junior,0
38,Male,90000,Master,14,Manager,1
53,Male,145000,PhD,28,Director,1
28,Female,39000,Bachelor,4,Junior,0
34,Male,86000,Master,10,Senior,1
29,Female,43000,Bachelor,5,Junior,0
42,Male,110000,PhD,17,Director,1
26,Male,58000,Bachelor,3,Mid,1
36,Female,54000,Master,11,Mid,0
49,Male,125000,Master,24,Director,1
23,Female,31000,Bachelor,1,Junior,0
31,Male,80000,Master,7,Senior,1
37,Male,95000,PhD,13,Manager,1
30,Female,47000,Bachelor,6,Mid,0
44,Female,65000,PhD,18,Senior,0
27,Male,63000,Bachelor,4,Mid,1
